iter	Passed	Remaining
457	816	965
458	816	962
459	817	959
460	817	956
461	818	953
462	819	950
463	819	947
464	820	944
465	826	946
466	826	943
467	827	940
468	828	937
469	828	934
470	829	931
471	829	928
472	830	925
473	831	922
474	831	919
475	832	916
476	832	913
477	833	910
478	834	907
479	834	904
480	835	901
481	838	900
482	839	898
483	840	895
484	841	893
485	842	890
486	842	887
487	843	884
488	844	882
489	844	879
490	845	876
491	845	873
492	846	870
493	847	867
494	847	864
495	848	862
496	848	859
497	849	856
498	850	853
499	850	850
500	853	850
501	854	847
502	855	845
503	856	842
504	856	839
505	857	837
506	858	834
507	858	831
508	859	829
509	860	826
510	860	823
511	861	821
512	862	818
513	862	815
514	863	813
515	864	810
516	865	808
517	867	806
518	868	804
519	869	802
520	870	799
521	870	797
522	871	794
523	871	792
524	872	789
525	873	786
526	873	784
527	874	781
528	875	779
529	875	776
530	876	774
531	878	772
532	878	769
533	879	767
534	880	765
535	882	764
536	883	761
537	884	759
538	885	757
539	886	754
540	886	752
541	887	750
542	888	747
543	888	745
544	889	742
545	890	740
546	891	738
547	892	735
548	892	733
549	893	731
550	894	728
551	894	726
552	902	729
553	903	727
554	904	725
555	905	722
556	905	720
557	906	717
558	906	715
559	907	713
560	908	710
561	908	708
562	909	705
563	910	703
564	910	701
565	913	700
566	914	698
567	915	696
568	916	694
569	917	691
570	918	689
571	919	687
572	919	685
573	920	683
574	921	680
575	921	678
576	922	676
577	923	673
578	923	671
579	924	669
580	925	667
581	925	664
582	927	663
583	928	661
584	929	659
585	929	656
586	930	654
587	931	652
588	931	650
589	932	647
590	933	645
591	934	643
592	934	641
593	935	639
594	936	637
595	936	634
596	937	632
597	937	630
598	938	628
599	939	626
600	939	623
601	949	627
602	951	626
603	951	623
604	952	621
605	953	619
606	953	617
607	954	615
608	954	613
609	955	610
610	957	609
611	959	608
612	960	606
613	960	604
614	962	602
615	962	600
616	963	598
617	964	595
618	964	593
619	965	591
620	965	589
621	966	587
622	967	585
623	967	583
624	968	580
625	968	578
626	969	576
627	970	574
628	980	578
629	981	576
630	982	574
631	983	572
632	984	570
633	985	568
634	986	566
635	987	565
636	989	563
637	990	562
638	991	560
639	992	558
640	994	556
641	995	555
642	997	553
643	1001	553
644	1005	553
645	1006	551
646	1007	549
647	1008	547
648	1009	546
649	1011	544
650	1015	544
651	1018	543
652	1020	542
653	1021	540
654	1022	538
655	1023	536
656	1024	535
657	1025	533
658	1026	531
659	1027	529
660	1031	529
661	1033	527
662	1034	526
663	1036	524
664	1037	522
665	1039	521
666	1040	519
667	1041	517
668	1042	515
669	1050	517
670	1051	515
671	1052	513
672	1053	511
673	1053	509
674	1054	507
675	1055	505
676	1056	503
677	1056	501
678	1058	500
679	1064	500
680	1065	499
681	1066	497
682	1067	495
683	1068	493
684	1069	491
685	1070	489
686	1071	487
687	1071	486
688	1072	484
689	1073	482
690	1078	482
691	1079	480
692	1081	478
693	1081	477
694	1082	475
695	1083	473
696	1083	471
697	1084	469
698	1084	467
699	1085	465
700	1086	463
701	1086	461
702	1087	459
703	1088	457
704	1088	455
705	1096	456
706	1097	454
707	1098	452
708	1098	450
709	1099	449
710	1099	447
711	1100	445
712	1101	443
713	1102	441
714	1102	439
715	1103	437
716	1103	435
717	1104	433
718	1105	432
719	1107	430
720	1107	428
721	1108	426
722	1109	425
723	1110	423
724	1110	421
725	1111	419
726	1112	417
727	1112	415
728	1113	413
729	1114	412
730	1114	410
731	1115	408
732	1116	406
733	1116	404
734	1117	402
735	1117	400
736	1118	399
737	1123	398
738	1124	397
739	1125	395
740	1125	393
741	1126	391
742	1126	389
743	1127	387
744	1128	386
745	1128	384
746	1130	382
747	1131	381
748	1132	379
749	1133	377
750	1133	375
751	1135	374
752	1136	372
753	1137	371
754	1138	369
755	1139	367
756	1139	365
757	1140	364
758	1141	362
759	1141	360
760	1142	358
761	1143	357
762	1143	355
763	1144	353
764	1144	351
765	1145	349
766	1146	348
767	1146	346
768	1147	344
769	1149	343
770	1150	341
771	1151	340
772	1152	338
773	1153	336
774	1154	335
775	1154	333
776	1155	331
777	1156	330
778	1157	328
779	1157	326
780	1158	324
781	1159	323
782	1159	321
783	1160	319
784	1160	317
785	1161	316
786	1162	314
787	1162	312
788	1165	311
789	1166	309
790	1166	308
791	1167	306
792	1168	304
793	1168	303
794	1169	301
795	1169	299
796	1170	298
797	1171	296
798	1171	294
799	1172	293
800	1173	291
801	1174	289
802	1174	288
803	1175	286
804	1176	284
805	1176	283
806	1177	281
807	1179	280
808	1181	278
809	1182	277
810	1184	275
811	1185	274
812	1185	272
813	1186	271
814	1187	269
815	1188	267
816	1188	266
817	1189	264
818	1190	263
819	1191	261
820	1191	259
821	1199	259
822	1200	258
823	1201	256
824	1202	255
825	1203	253
826	1204	251
827	1205	250
828	1205	248
829	1206	247
830	1207	245
831	1209	244
832	1210	242
833	1211	241
834	1212	239
835	1213	238
836	1214	236
837	1215	234
838	1216	233
839	1217	231
840	1218	230
841	1220	228
842	1221	227
843	1221	225
844	1222	224
845	1224	222
846	1225	221
847	1225	219
848	1227	218
849	1228	216
850	1229	215
851	1229	213
852	1230	212
853	1231	210
854	1231	208
855	1232	207
856	1232	205
857	1233	204
858	1234	202
859	1234	200
860	1235	199
861	1235	197
862	1236	196
863	1237	194
864	1244	194
865	1246	192
866	1246	191
867	1247	189
868	1248	188
869	1248	186
870	1249	185
871	1250	183
872	1250	181
873	1251	180
874	1251	178
875	1252	177
876	1253	175
877	1257	174
878	1259	173
879	1260	171
880	1260	170
881	1261	168
882	1261	167
883	1262	165
884	1263	164
885	1263	162
886	1264	161
887	1265	159
888	1265	158
889	1266	156
890	1267	155
891	1267	153
892	1268	151
893	1276	151
894	1276	149
895	1277	148
896	1277	146
897	1278	145
898	1279	143
899	1279	142
900	1280	140
901	1280	139
902	1281	137
903	1282	136
904	1282	134
905	1283	133
906	1285	131
907	1286	130
908	1287	128
909	1288	127
910	1289	125
911	1290	124
912	1290	122
913	1291	121
914	1291	120
915	1292	118
916	1293	117
917	1293	115
918	1294	114
919	1295	112
920	1295	111
921	1296	109
922	1296	108
923	1297	106
924	1298	105
925	1298	103
926	1300	102
927	1301	100
928	1302	99
929	1302	98
930	1303	96
931	1304	95
932	1304	93
933	1305	92
934	1305	90
935	1306	89
936	1307	87
937	1307	86
938	1308	84
939	1308	83
940	1309	82
941	1310	80
942	1310	79
943	1311	77
944	1312	76
945	1312	74
946	1314	73
947	1315	72
948	1316	70
949	1317	69
950	1318	67
951	1318	66
952	1319	65
953	1320	63
954	1320	62
955	1321	60
956	1322	59
957	1322	57
958	1323	56
959	1323	55
960	1324	53
961	1325	52
962	1326	50
963	1327	49
964	1328	48
965	1330	46
966	1331	45
967	1332	44
968	1333	42
969	1334	41
970	1335	39
971	1336	38
972	1337	37
973	1338	35
974	1338	34
975	1339	32
976	1340	31
977	1341	30
978	1341	28
979	1342	27
980	1347	26
981	1348	24
982	1349	23
983	1350	21
984	1350	20
985	1351	19
986	1352	17
987	1352	16
988	1353	15
989	1354	13
990	1354	12
991	1355	10
992	1356	9
993	1356	8
994	1357	6
995	1358	5
996	1360	4
997	1361	2
998	1362	1
999	1362	0
